system:index,Aspect,Curvature,Elevation,Extent,Geology,Name,Slope,b1,descriptio,layer,.geo,rainfall_2025
00000000000000000000_0,122.18128798,-30766613.556,1268.5740831,Gangtok basin,LHS Daling,Debris flow,39.287769741,1445.4249914999527,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55142913208184,27.286326755130464]}",1445.4249914999527
00000000000000000001_0,229.92302619,-71851756.889,1967.7129313,Gangtok basin,LHS Daling,Debris flow,30.884160572,1499.6463614189745,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.241410990924486]}",1499.6463614189745
00000000000000000003_0,330.40676202,155506752.0,960.74382867,Gangtok basin,LHS Daling,Debris flow,44.812948015,1553.8323989051532,2017,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.5963448962878,27.241410990924486]}",1553.8323989051532
0000000000000000000b_0,181.30348036,151673248.22,913.63579644,Gangtok basin,Lingtse,Debris flow,43.266841888,1445.4249914999527,Image 9/27/2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55142913208184,27.286326755130464]}",1445.4249914999527
0000000000000000000c_0,180.83039008,-39642329.583,969.87653944,Gangtok basin,Lingtse,Debris flow,42.543979221,1445.4249914999527,Image 10/27/2009,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55142913208184,27.286326755130464]}",1445.4249914999527
0000000000000000000d_0,151.01867676,-22871114.625,1619.6388889,Gangtok basin,Lingtse,Debris flow,41.04445733,1445.4249914999527,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.55142913208184,27.286326755130464]}",1445.4249914999527
0000000000000000000e_0,98.072926839,41548876.778,1958.2592638,East Sikkim,LHS Daling,Debris flow,31.961149851,1464.642113345937,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.68617642469975,27.241410990924486]}",1464.642113345937
0000000000000000000f_0,341.55588108,80084028.528,1080.8549262,East Sikkim,LHS Daling,Debris flow,40.383285522,1633.157645052048,2006,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.64126066049378,27.19649522671851]}",1633.157645052048
00000000000000000011_0,271.40871006,-215077980.44,1854.3055284,East Sikkim,GHS paro,Debris flow,35.547865126,1396.093931099731,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.241410990924486]}",1396.093931099731
00000000000000000018_0,227.49454414,17417922.333,3372.5308431,East Sikkim,GHS paro,Debris flow,42.14139684,1337.011633966118,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}",1337.011633966118
00000000000000000028_0,153.17623732,-101489100.67,2642.3611111,East Sikkim,GHS paro,Debris flow,39.797197978,1407.6649284321866,10/5/2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.241410990924486]}",1407.6649284321866
00000000000000000029_0,105.96667226,-62154504.222,2187.3271213,East Sikkim,GHS paro,Debris flow,27.789340973,1407.6649284321866,12/3/2010,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.241410990924486]}",1407.6649284321866
0000000000000000002c_0,153.41199748,157480212.89,2856.0432129,East Sikkim,GHS paro,Debris flow,42.062105815,1337.011633966118,10/5/2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}",1337.011633966118
00000000000000000039_0,148.95639208,-3509408.0,2584.9475098,East Sikkim,GHS paro,Debris flow,32.753902435,1337.011633966118,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}",1337.011633966118
0000000000000000003c_0,215.19589572,239678617.33,3087.6203885,East Sikkim,GHS paro,Debris flow,44.987089793,1337.011633966118,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}",1337.011633966118
0000000000000000003d_0,141.4130639,-70306499.75,2350.3981662,East Sikkim,GHS paro,Debris flow,44.036753337,1337.011633966118,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}",1337.011633966118
00000000000000000040_0,250.27804057,93531095.701,3641.7963053,East Sikkim,GHS paro,Debris flow,19.05934408,1337.011633966118,2005,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}",1337.011633966118
00000000000000000042_0,274.13989258,-37261732.806,3439.8241102,East Sikkim,GHS paro,Debris flow,34.296261258,1337.011633966118,2005,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.77600795311172,27.286326755130464]}",1337.011633966118
00000000000000000048_0,97.903861152,-21167273.345,1371.8487549,East Sikkim,GHS paro,Debris flow,32.757244746,1512.5972638858475,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.73109218890573,27.19649522671851]}",1512.5972638858475
0000000000000000007f_0,144.19196404,-12959670.417,1334.5926107,Sikkim,LHS Daling,Debris flow,43.998753018,1584.1721733137963,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.37176607525792,27.286326755130464]}",1584.1721733137963
00000000000000000080_0,138.25294325,316492998.22,2285.6944444,Sikkim,LHS Daling,Debris flow,37.339126375,1508.9623629197597,2005,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.28193454684597,27.376158283542416]}",1508.9623629197597
00000000000000000081_0,186.569497,109413313.78,1704.5246853,Sikkim,LHS Daling,Debris flow,29.768242518,1562.9640082140177,2002,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.28193454684597,27.33124251933644]}",1562.9640082140177
00000000000000000082_0,222.74235874,46684647.222,813.36728923,Sikkim,LHS Daling,Debris flow,29.752145979,1861.6723172133643,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4166818394639,27.10666369830656]}",1861.6723172133643
00000000000000000083_0,242.68657091,174386592.89,1056.3858032,Sikkim,LHS Daling,Debris flow,35.817365223,1861.6723172133643,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4166818394639,27.10666369830656]}",1861.6723172133643
00000000000000000085_0,199.11069234,45895039.222,2192.9752875,Sikkim,LHS Daling,Debris flow,43.841981676,1559.0425320841025,Active,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4166818394639,27.286326755130464]}",1559.0425320841025
00000000000000000086_0,142.63734521,270235671.89,1246.1975369,Sikkim,LHS Daling,Debris flow,47.036692301,1645.699705261737,Active,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.28193454684597,27.286326755130464]}",1645.699705261737
00000000000000000088_0,118.42128923,134064684.89,872.48766412,Sikkim,LHS Daling,Debris flow,49.328309377,1645.699705261737,,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.28193454684597,27.286326755130464]}",1645.699705261737
00000000000000000089_0,187.68825955,23697654.222,1298.5246853,Sikkim,LHS Daling,Debris flow,37.990409639,1608.5915696395095,2015,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.32685031105196,27.286326755130464]}",1608.5915696395095
0000000000000000008a_0,194.4988505,28944495.222,1414.6573893,Sikkim,LHS Daling,Debris flow,42.018555959,1608.5915696395095,2015,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.32685031105196,27.286326755130464]}",1608.5915696395095
0000000000000000008b_0,195.78910828,123486441.33,1544.1481391,Sikkim,LHS Daling,Debris flow,31.432821486,1608.5915696395095,2017,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.32685031105196,27.286326755130464]}",1608.5915696395095
0000000000000000008d_0,211.11202664,113519971.94,983.932095,Sikkim,LHS Daling,Debris flow,37.557007896,1714.6060538333986,2011,Debrisflow Debrisflow,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4166818394639,27.151579462512537]}",1714.6060538333986
